annee,categorie
1832,Bar / Café
1832,Spectacle / Sociabilité
1832,Spectacle / Sociabilité
1832,Spectacle / Sociabilité
1832,Spectacle / Sociabilité
1832,Spectacle / Sociabilité
1832,Bar / Café
1832,Restaurant
1832,Restaurant
1832,Bar / Café
1832,Hôtel / Pension
1832,Restaurant
1832,Restaurant
1832,Bar / Café
1832,Restaurant
1832,Bar / Café
1832,Bar / Café
1832,Restaurant
1832,Bar / Café
1832,Bar / Café
1832,Bar / Café
1832,Restaurant
1832,Bar / Café
1832,Bar / Café
1832,Bar / Café
1832,Bar / Café
1832,Bar / Café
1832,Hôtel / Pension
1832,Hôtel / Pension
1832,Bar / Café
1832,Hôtel / Pension
1832,Restaurant
1832,Hôtel / Pension
1832,Bar / Café
1832,Restaurant
1832,Restaurant
1832,Hôtel / Pension
1832,Hôtel / Pension
1832,Hôtel / Pension
1832,Bar / Café
1832,Restaurant
1832,Restaurant
1832,Bar / Café
1832,Hôtel / Pension
1832,Bar / Café
1832,Hôtel / Pension
1832,Hôtel / Pension
1832,Hôtel / Pension
1832,Bar / Café
1832,Bar / Café
1832,Restaurant
1832,Restaurant
1832,Bar / Café
1832,Hôtel / Pension
1832,Restaurant
1832,Hôtel / Pension
1832,Hôtel / Pension
1832,Restaurant
1832,Hôtel / Pension
1832,Bar / Café
1832,Restaurant
1832,Restaurant
1832,Restaurant
1832,Bar / Café
1832,Restaurant
1832,Bar / Café
1832,Spectacle / Sociabilité
1832,Hôtel / Pension
1832,Hôtel / Pension
1832,Bar / Café
1832,Bar / Café
1832,Hôtel / Pension
1832,Spectacle / Sociabilité
1832,Restaurant
1832,Restaurant
1832,Restaurant
1832,Restaurant
1832,Bar / Café
1832,Hôtel / Pension
1832,Restaurant
1832,Restaurant
1832,Hôtel / Pension
1832,Hôtel / Pension
1888,Bar / Café
1888,Bar / Café
1888,Hôtel / Pension
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Club / Société
1888,Bar / Café
1888,Club / Société
1888,Hôtel / Pension
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Hôtel / Pension
1888,Bar / Café
1888,Hôtel / Pension
1888,Bar / Café
1888,Hôtel / Pension
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Hôtel / Pension
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Autre
1888,Hôtel / Pension
1888,Spectacle / Sociabilité
1888,Spectacle / Sociabilité
1888,Autre
1888,Hôtel / Pension
1888,Hôtel / Pension
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Hôtel / Pension
1888,Hôtel / Pension
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Hôtel / Pension
1888,Bar / Café
1888,Club / Société
1888,Bar / Café
1888,Bar / Café
1888,Hôtel / Pension
1888,Hôtel / Pension
1888,Bar / Café
1888,Autre
1888,Autre
1888,Autre
1888,Autre
1888,Hôtel / Pension
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Hôtel / Pension
1888,Hôtel / Pension
1888,Club / Société
1888,Restaurant
1888,Hôtel / Pension
1888,Autre
1888,Autre
1888,Autre
1888,Autre
1888,Autre
1888,Autre
1888,Autre
1888,Autre
1888,Club / Société
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
1888,Autre
1888,Autre
1888,Bar / Café
1888,Bar / Café
1888,Bar / Café
